Model_number,Model_Name,Model_file_name,Effort,CPUE,b,R_V,R_T,p_I,Comment
1,BSS_01_Uncorr,BSS_creel_model_01_ProcessErr_Uncorr_2019-04-23.stan,separate by section and gear,separate by section and gear,"pooled by section, separate by gear","pooled by section, separate by gear","pooled by section, separate by gear",separate by section and gear,Process errors for each pairwise gear and section combination modeled as being uncorrelated for both CPUE and effort 
2,BSS_02_Corr,BSS_creel_model_02_ProcessErr_Corr_2019-04-23.stan,separate by section and gear,separate by section and gear,"pooled by section, separate by gear","pooled by section, separate by gear","pooled by section, separate by gear",separate by section and gear,Process errors for each pairwise gear and section combination modeled as being correlated for both CPUE and effort 
