"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"B1",0.733337676798645,0.00536694374780563,0.102418549025126,0.523136045805378,0.664417166196514,0.73295760785212,0.813301773587555,0.920281465084015,364.169148731914,0.992292077737922
"sigma_eps_E",0.450601455492707,0.00481682514411191,0.0470497523248373,0.378639535418419,0.417247052458752,0.444346376883578,0.479545668322704,0.55118424707156,95.4097857686511,1.04716365614945
"Lcorr_E[1,1]",1,NA,0,1,1,1,1,1,NA,NA
"Lcorr_E[1,2]",0,NA,0,0,0,0,0,0,NA,NA
"Lcorr_E[1,3]",0,NA,0,0,0,0,0,0,NA,NA
"Lcorr_E[1,4]",0,NA,0,0,0,0,0,0,NA,NA
"Lcorr_E[2,1]",0.655326323586574,0.015767849415951,0.153087365553068,0.319487786031597,0.555763019116147,0.682456785331615,0.769664508927097,0.879958100230297,94.261375176014,0.998002623458684
"Lcorr_E[2,2]",0.728152291542032,0.0138567860114928,0.130410947917289,0.475035612619847,0.638448393172083,0.7309258674929,0.831337528909503,0.947590345682198,88.5733524574386,1.00095125626564
"Lcorr_E[2,3]",0,NA,0,0,0,0,0,0,NA,NA
"Lcorr_E[2,4]",0,NA,0,0,0,0,0,0,NA,NA
"Lcorr_E[3,1]",0.664755278765151,0.0259457454551487,0.199598383004342,0.204899163885444,0.560002731073517,0.716498763098615,0.804151879164791,0.914602833172603,59.1809225807271,1.07239646210568
"Lcorr_E[3,2]",0.486093084880924,0.0332210601479074,0.204492061592057,0.0848056217062471,0.341770037809314,0.473555061050506,0.615719648082438,0.896751452245678,37.890115714435,1.1025215854782
"Lcorr_E[3,3]",0.471647061861652,0.0124541300457072,0.133998110054181,0.223654346806192,0.377877819969211,0.464027009749408,0.564458165697079,0.749575367022131,115.763208017374,1.02257539792387
"Lcorr_E[3,4]",0,NA,0,0,0,0,0,0,NA,NA
"Lcorr_E[4,1]",0.300900792437728,0.0206227590026836,0.178555712396195,-0.078677274753817,0.191508178452772,0.300080799924046,0.422566477103384,0.620599326607894,74.9642092600138,1.0384741046924
"Lcorr_E[4,2]",0.673797820622352,0.0190272265257452,0.146050499841933,0.348154894024751,0.583968454183035,0.693660752104021,0.782845909273305,0.89186617166159,58.918966193659,1.04418268600914
"Lcorr_E[4,3]",0.404358110048307,0.0299045599257748,0.206634326455768,-0.0819742363719883,0.297075451217126,0.427506997977729,0.544979464580419,0.713919594463524,47.7452428207924,1.02804960890946
"Lcorr_E[4,4]",0.417026133958622,0.0180840232420422,0.149746898428189,0.11227145987543,0.314742060892266,0.431205299135138,0.524698370109116,0.684967274055118,68.5686436727176,1.04663663799065
"sigma_r_E",0.438188211245773,0.0041797124610726,0.0256774680712361,0.388688131717966,0.420032784844771,0.438559242828453,0.454826584896148,0.489277864420848,37.7408418891844,1.09778128660902
"phi_E_scaled",0.883483853611012,0.00378569466144239,0.0354774942666966,0.81312703261325,0.860745579562704,0.884361677806294,0.910374507208937,0.943511995266124,87.8243030048021,1.04574982404033
