"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"mu_E[1,1]",1.03681677351493,0.0506239769985411,0.38708625801115,0.31328169837417,0.80604954778741,1.00445151026669,1.24382815022868,1.95329638346344,58.4659467932662,1.04221796650421
"mu_E[1,2]",1.70865978807099,0.0550993008235547,0.391846350453098,0.906162900664473,1.47085856736584,1.73196188300653,1.94471929573955,2.50918357060043,50.5754128398873,1.0336429890641
"mu_E[2,1]",2.09323329616978,0.0558305574359639,0.374140619269171,1.35558597372544,1.8556210598184,2.09816568007501,2.30352561313285,2.97212701269672,44.9082150204887,1.04861652748573
"mu_E[2,2]",1.64363317254162,0.0422338496771905,0.332867345474458,1.05291548474443,1.43179537865172,1.64992185673347,1.83463911589227,2.40282619287612,62.1185122402054,1.05106842481586
"B1",0.964798374694587,0.00878798754717784,0.124616107495863,0.714791845512409,0.885998972892224,0.965148632252576,1.04507381479883,1.20698005146865,201.080287437222,1.00965410680956
"sigma_eps_E",0.417588930672804,0.00680911703631734,0.0522389559491302,0.324810565918866,0.380422760125056,0.415134394370614,0.45072653184337,0.528133122472394,58.8582545772148,1.06398903591022
"Lcorr_E[1,1]",1,NA,0,1,1,1,1,1,NA,NA
"Lcorr_E[1,2]",0,NA,0,0,0,0,0,0,NA,NA
"Lcorr_E[1,3]",0,NA,0,0,0,0,0,0,NA,NA
"Lcorr_E[1,4]",0,NA,0,0,0,0,0,0,NA,NA
"Lcorr_E[2,1]",0.542056440812551,0.0437886522110819,0.246405824205721,0.0736144499889566,0.364629016593086,0.573747348561413,0.73673268057599,0.897221259386781,31.664948178259,1.08620017872178
"Lcorr_E[2,2]",0.786106110244134,0.0281805071500079,0.166484987043127,0.441564484824232,0.676182634466623,0.819032089122134,0.93113855565275,0.995469587804548,34.902179204955,1.09525569247287
"Lcorr_E[2,3]",0,NA,0,0,0,0,0,0,NA,NA
"Lcorr_E[2,4]",0,NA,0,0,0,0,0,0,NA,NA
"Lcorr_E[3,1]",0.357786262728133,0.056728887969762,0.346397526034946,-0.466556801918133,0.101454853552108,0.38561425979257,0.621965591009087,0.902875991189879,37.2855902442551,1.08919426877814
"Lcorr_E[3,2]",0.647157106239831,0.044205353010069,0.258863936682545,0.00192992507593719,0.524746495185054,0.726328247597317,0.833057700545663,0.951197204124433,34.2920443520436,1.10757762698907
"Lcorr_E[3,3]",0.485331012262671,0.0327988428871033,0.176561985207592,0.167148328383198,0.359217323076805,0.484257654632805,0.610863796950754,0.826079340912342,28.9785974202703,1.10844960384243
"Lcorr_E[3,4]",0,NA,0,0,0,0,0,0,NA,NA
"Lcorr_E[4,1]",0.169270432561599,0.0432595787518602,0.299933849308732,-0.44717045039223,-0.0309804617638773,0.182490628256947,0.391225768264539,0.681086046478521,48.0713579195028,1.0652131771071
"Lcorr_E[4,2]",0.684560149670449,0.0241267826606672,0.192262595362433,0.239337396651645,0.56810710251032,0.717946051550447,0.836496802483972,0.942691224063273,63.5024932703293,1.05318555812167
"Lcorr_E[4,3]",0.234371881714338,0.0560715204874268,0.30126085960443,-0.416563090039004,0.0456654492215104,0.265911360310608,0.457937245137295,0.720427293015986,28.8669404251374,1.12751783854722
"Lcorr_E[4,4]",0.444618574645383,0.0373420977992819,0.181803688038623,0.109678322670692,0.30837965283368,0.455529831628131,0.577839387733475,0.769344644774831,23.7032531028843,1.1290002168516
"sigma_r_E",0.238665089779587,0.00737072101000213,0.026446193474144,0.175754219580006,0.223267493153057,0.242037251125367,0.25519942506237,0.288699887205963,12.8737892621083,1.29091571605287
"phi_E_scaled",0.90161442548073,0.00640931435290861,0.0364253132787027,0.824966288156256,0.876020247032211,0.903384220724695,0.927186271709858,0.965109472499649,32.298581259743,1.14683726336823
