"Day","Section","Gear","Mean","Median","l95","u95","Date","DayType"
1,"Skagit","Bank",0.013,0.009,0.002,0.051,"2019-02-01",0
1,"Sauk","Bank",0.006,0.004,0.001,0.024,"2019-02-01",0
1,"Skagit","Boat",0.013,0.009,0.001,0.044,"2019-02-01",0
1,"Sauk","Boat",0.041,0.025,0.003,0.2,"2019-02-01",0
2,"Skagit","Bank",0.012,0.01,0.003,0.028,"2019-02-02",1
2,"Sauk","Bank",0.006,0.005,0.001,0.018,"2019-02-02",1
2,"Skagit","Boat",0.012,0.011,0.002,0.029,"2019-02-02",1
2,"Sauk","Boat",0.029,0.025,0.006,0.081,"2019-02-02",1
3,"Skagit","Bank",0.012,0.011,0.003,0.029,"2019-02-03",1
3,"Sauk","Bank",0.006,0.006,0.002,0.014,"2019-02-03",1
3,"Skagit","Boat",0.013,0.012,0.004,0.029,"2019-02-03",1
3,"Sauk","Boat",0.027,0.024,0.007,0.065,"2019-02-03",1
4,"Skagit","Bank",0.013,0.011,0.003,0.029,"2019-02-04",0
4,"Sauk","Bank",0.007,0.006,0.002,0.019,"2019-02-04",0
4,"Skagit","Boat",0.014,0.013,0.005,0.033,"2019-02-04",0
4,"Sauk","Boat",0.03,0.026,0.009,0.07,"2019-02-04",0
5,"Skagit","Bank",0.013,0.012,0.004,0.03,"2019-02-05",0
5,"Sauk","Bank",0.007,0.007,0.002,0.017,"2019-02-05",0
5,"Skagit","Boat",0.015,0.014,0.005,0.029,"2019-02-05",0
5,"Sauk","Boat",0.03,0.027,0.01,0.077,"2019-02-05",0
6,"Skagit","Bank",0.014,0.012,0.004,0.034,"2019-02-06",0
6,"Sauk","Bank",0.008,0.007,0.002,0.019,"2019-02-06",0
6,"Skagit","Boat",0.016,0.015,0.005,0.032,"2019-02-06",0
6,"Sauk","Boat",0.031,0.03,0.012,0.063,"2019-02-06",0
7,"Skagit","Bank",0.014,0.012,0.004,0.033,"2019-02-07",0
7,"Sauk","Bank",0.008,0.007,0.002,0.018,"2019-02-07",0
7,"Skagit","Boat",0.016,0.015,0.005,0.031,"2019-02-07",0
7,"Sauk","Boat",0.033,0.03,0.013,0.079,"2019-02-07",0
8,"Skagit","Bank",0.014,0.013,0.005,0.03,"2019-02-08",0
8,"Sauk","Bank",0.008,0.007,0.002,0.018,"2019-02-08",0
8,"Skagit","Boat",0.016,0.015,0.006,0.033,"2019-02-08",0
8,"Sauk","Boat",0.032,0.028,0.012,0.069,"2019-02-08",0
9,"Skagit","Bank",0.014,0.013,0.005,0.031,"2019-02-09",1
9,"Sauk","Bank",0.008,0.007,0.002,0.02,"2019-02-09",1
9,"Skagit","Boat",0.017,0.016,0.005,0.033,"2019-02-09",1
9,"Sauk","Boat",0.032,0.03,0.013,0.07,"2019-02-09",1
