water_body,gear_num,angler_type,location_desc,section,p_TI,Indirect_TI_Expan
Skagit River,1,Bank,From Hwy. 530 Bridge at Rockport to Cascade River Rd. (Marblemount Bridge).,1,1,
Skagit River,2,Boat,From Hwy. 530 Bridge at Rockport to Cascade River Rd. (Marblemount Bridge).,1,1,
